Pais;Tipo de falla;Dias respuesta;Outcome;I pais;I falla
Ecuador;ELECTRICAL CONNECTORS;14;0;1;3
Ecuador;ELECTRICAL CONNECTORS;14;0;1;3
Ecuador;ELECTRICAL CONNECTORS;16;0;1;3
Ecuador;ELECTRICAL CONNECTORS;16;0;1;3
Ecuador;ELECTRICAL CONNECTORS;16;0;1;3
Ecuador;ELECTRICAL CONNECTORS;20;0;1;3
Ecuador;ELECTRICAL CONNECTORS;25;0;1;3
Ecuador;ELECTRICAL CONNECTORS;26;0;1;3
Ecuador;ELECTRICAL CONNECTORS;40;0;1;3
Mexico;ELECTRICAL CONNECTORS;2;0;3;3
Mexico;ELECTRICAL CONNECTORS;2;0;3;3
Mexico;ELECTRICAL CONNECTORS;2;0;3;3
Mexico;ELECTRICAL CONNECTORS;2;0;3;3
Mexico;ELECTRICAL CONNECTORS;2;0;3;3
Mexico;ELECTRICAL CONNECTORS;2;0;3;3
Mexico;ELECTRICAL CONNECTORS;2;0;3;3
Mexico;ELECTRICAL CONNECTORS;2;0;3;3
Mexico;ELECTRICAL CONNECTORS;2;0;3;3
Mexico;ELECTRICAL CONNECTORS;2;0;3;3
Mexico;ELECTRICAL CONNECTORS;3;0;3;3
Mexico;ELECTRICAL CONNECTORS;3;0;3;3
Mexico;ELECTRICAL CONNECTORS;4;0;3;3
Mexico;ELECTRICAL CONNECTORS;5;0;3;3
Mexico;ELECTRICAL CONNECTORS;5;0;3;3
Mexico;ELECTRICAL CONNECTORS;5;0;3;3
Mexico;ELECTRICAL CONNECTORS;5;0;3;3
Mexico;ELECTRICAL CONNECTORS;8;0;3;3
Mexico;ELECTRICAL CONNECTORS;8;0;3;3
Mexico;ELECTRICAL CONNECTORS;16;0;3;3
Mexico;ELECTRICAL CONNECTORS;18;0;3;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;1;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;2;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
Peru;ELECTRICAL CONNECTORS;3;0;4;3
